DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_GDP(1.0),02/05/25 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,1998,3.8,,
ESTAT:NAMA_10_GDP(1.0),02/05/25 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,1999,-0.5,,
ESTAT:NAMA_10_GDP(1.0),02/05/25 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2000,0.8,,
ESTAT:NAMA_10_GDP(1.0),02/05/25 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2001,2.9,,
ESTAT:NAMA_10_GDP(1.0),02/05/25 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2002,4.4,,
ESTAT:NAMA_10_GDP(1.0),02/05/25 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2003,4.9,,
ESTAT:NAMA_10_GDP(1.0),02/05/25 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2004,5.4,,
ESTAT:NAMA_10_GDP(1.0),02/05/25 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2005,6.5,,
ESTAT:NAMA_10_GDP(1.0),02/05/25 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2006,8.9,,
ESTAT:NAMA_10_GDP(1.0),02/05/25 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2007,10.8,,
ESTAT:NAMA_10_GDP(1.0),02/05/25 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2008,5.4,,
ESTAT:NAMA_10_GDP(1.0),02/05/25 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2009,-5.5,,
ESTAT:NAMA_10_GDP(1.0),02/05/25 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2010,6.8,,
ESTAT:NAMA_10_GDP(1.0),02/05/25 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2011,2.6,,
ESTAT:NAMA_10_GDP(1.0),02/05/25 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2012,1.6,,
ESTAT:NAMA_10_GDP(1.0),02/05/25 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2013,0.7,,
ESTAT:NAMA_10_GDP(1.0),02/05/25 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2014,2.7,,
ESTAT:NAMA_10_GDP(1.0),02/05/25 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2015,5.2,,
ESTAT:NAMA_10_GDP(1.0),02/05/25 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2016,1.9,,
ESTAT:NAMA_10_GDP(1.0),02/05/25 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2017,2.9,,
ESTAT:NAMA_10_GDP(1.0),02/05/25 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2018,4.1,,
ESTAT:NAMA_10_GDP(1.0),02/05/25 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2019,2.3,,
ESTAT:NAMA_10_GDP(1.0),02/05/25 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2020,-2.6,,
ESTAT:NAMA_10_GDP(1.0),02/05/25 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2021,5.7,,
ESTAT:NAMA_10_GDP(1.0),02/05/25 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2022,0.4,,
ESTAT:NAMA_10_GDP(1.0),02/05/25 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2023,2.2,,
ESTAT:NAMA_10_GDP(1.0),02/05/25 23:00:00,Annual,"Chain linked volumes, percentage change on previous period",Gross domestic product at market prices,Slovakia,2024,2.1,,
